,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
179,179,Huaihua,12.1702381,1820.895522,45.33997821,1.29914849,0.897945725,912.835001,271.824374,1.279456252,0.641279351,15.375,1471.650024,80,2,3,550,39.12369368,25,NA,26.5
180,180,Shaoyang,10.5511811,2477.61194,36.33827525,1.182291516,0.673011667,912.834999,271.824372,1.321669872,2.934325203,16.10833359,1446.116699,80,3,1,510,34.14107713,19,NA,19.45
181,181,Loudi,8.366013,2761.19403,36.28612115,1.160193605,1.198849313,922.570203,281.559576,1.059152977,2.146362414,18.15972328,1444.68335,70,2,2,120,40.92355341,18,2,20.25
182,182,Shaoyang,11.03986014,2462.686567,44.98398662,0.956739904,1.232643284,1023.062141,382.051514,0.753762432,2.173081236,16.26805496,1427.216675,50,2,1,440,55.28655868,23,NA,27.6
183,183,Shaoyang,11.90677966,1104.477612,42.20142108,1.135860181,0,776.922813,135.912186,1.317413212,0,15.66111088,1480.75,80,2,1,700,20.3485342,17,NA,26
184,184,Xiangtan,20.78695652,647.7612,35.183128,0.680387214,0,650.100056,0,0,0,18.42361069,1463.833252,80,1,2,65,42.82375575,36,1,32.5
185,185,Zhuzhou,11.99516129,1507.462687,43.9826125,1.502005746,1.169992997,1168.709531,527.698904,1.644214388,1.702727433,18.39166641,1474.016724,80,2,1,80,21.41364776,12,2,28.4
186,186,Huaihua,11.99207921,1805.970149,55.66730664,1.90956568,1.421749104,1171.283483,517.9637,1.690692758,2.287964698,16.40139008,1304.916626,80,4,5,460,59.32333286,38,2,34.2
187,187,Huaihua,7.768627451,2208.955224,28.24128506,1.0815071,0,776.922813,135.912186,1.022406304,0,13.08888912,1581.949951,60,10,6,1200,10.48524422,20,NA,15.4
188,188,Shaoyang,9.076821192,2507.462687,32.08357327,0.762263889,0,776.922814,135.912187,0.686079355,0,16.5625,1419.283325,80,2,1,426,23.8039951,18,NA,18.2
189,189,Shaoyang,10.78446602,1776.119403,38.46221385,0.978678288,0,776.922813,135.912186,1.096606611,0,16.21805573,1447.516602,80,3,1,600,28.95398358,22,NA,23.3
190,190,Shaoyang,10.81517241,2328.358209,39.70685982,0.886483288,0.693147181,900.65705,259.646423,1.111308716,1.69374754,16.75694466,1417.199951,100,2,2,370,45.64324229,22,2,29.8
191,191,Xiangtan,9.568181818,3029.850746,30.68671392,0.650511373,0.636514168,912.835001,271.824374,0.329348752,1.163803267,17.96111107,1471.099976,80,1,2,185,34.51039275,18,NA,18.45
192,192,Xiangtan,11.75128205,761.1940299,44.16637839,1.220252355,1.220607265,897.515499,371.018474,0.864877244,1.801515956,18.46388817,1460.849976,60,1,3,112,16.90080907,17,NA,22
193,193,Huaihua,13.362,1731.343284,45.50616128,0.994412977,0,451.872786,0,1.289371446,0,17.14166641,1272.383301,75,3,2,300,63.96658901,27,NA,27.9
